title,link,description,pubDate,pubTime,crawl_timestamp
Bring natural gas price down quickly, glove makers urge Gas Malaysia, TNB,http://www.theedgemarkets.com/article/bring-natural-gas-price-down-quickly-glove-makers-urge-gas-malaysia-tnb,KUALA LUMPUR (March 26): Rubber glove manufacturers have called on Gas Malaysia Bhd and Tenaga National Bhd (TNB) to revise the natural gas tariff to be in line with the international prices of liquefied natural gas (LNG) and coal.,2019-03-26 00:00:00,06:27:39,2019-03-26 21:45:03
Armada, Scomies, Komarkcorp, Rexit, Siggas, Straits Inter Logistics,http://www.theedgemarkets.com/article/armada-scomies-komarkcorp-rexit-siggas-straits-inter-logistics,KUALA LUMPUR (March 26): ,2019-03-26 00:00:00,05:05:46,2019-03-26 21:45:04
Sig Gases, Tasco, Teck Guan,http://www.theedgemarkets.com/article/sig-gases-tasco-teck-guan,KUALA LUMPUR (March 28): ,2019-03-28 00:00:00,05:12:39,2019-03-28 22:19:52
'Buy gas in Singapore' - Dr M when asked if M'sia will lower prices,https://www.malaysiakini.com/news/470554,PM says Malaysia is already selling gas at a 'very good' subsidised price.,2019-04-02 00:00:00,07:23:00,2019-04-02 20:00:04
Genting Bhd subsidiaries price US$1b bonds to fund Resorts World Las Vegas,http://www.theedgemarkets.com/article/genting-bhd-subsidiaries-price-us1b-bonds-fund-resorts-world-las-vegas,Genting Bhd said today its indirect wholly-owned subsidiaries Resorts World Las Vegas LLC and RWLV Capital Inc had on Tuesday (April 2) priced their US$1 billion (about RM4.0815 billion) 4.625% senior notes to finance the construction of the Resorts World Las Vegas casino and integrated resort.,2019-04-03 00:00:00,06:09:00,2019-04-03 20:00:02
China gas demand to surge in 2019, but maybe not enough to sop up LNG glut,http://www.theedgemarkets.com/article/china-gas-demand-surge-2019-maybe-not-enough-sop-lng-glut,SINGAPORE (Apr 8): China's natural gas demand is set to grow by 14 percent in 2019 amid a huge government push to spur consumption of the fuel, a senior industry executive said, requiring the nation to import huge amounts of liquefied natural gas (LNG).,2019-04-08 00:00:00,08:46:10,2019-04-08 21:19:53
PM stands firm on cancelling gas pipeline project in Sabah,https://www.malaysiakini.com/news/472346,UPDATED 5PM | There are no plans to resume the TSGP, says Dr Mahathir Mohamad.,2019-04-15 00:00:00,06:17:00,2019-04-15 21:32:48
